date,region,coal,gas_naptha_and_diesel,hydro,lignite,nuclear,res_wind_solar_biomass_and_others,solar_gen_mu,thermal_coal_and_lignite,total,wind_genmu
2013-03-31,ER,,,30.0,,,,,,306.0,0.0
2013-03-31,NER,,,7.0,,,,,,28.0,0.0
2013-03-31,NR,,,139.0,,,,,,675.0,2.0
2013-03-31,SR,,,72.0,,,,,,697.0,13.0
2013-03-31,WR,,,43.0,,,,,,820.0,19.0
2013-04-01,ER,,,32.0,,,,,,316.0,0.0
2013-04-01,NER,,,5.0,,,,,,29.0,0.0
2013-04-01,NR,,,137.0,,,,,,683.0,7.0
2013-04-01,SR,,,83.0,,,,,,706.0,19.0
2013-04-01,WR,,,43.0,,,,,,841.0,21.0
2013-04-02,ER,,,29.0,,,,,,311.0,0.0
2013-04-02,NER,,,4.0,,,,,,28.0,0.0
2013-04-02,NR,,,136.0,,,,,,675.0,8.0
2013-04-02,SR,,,79.0,,,,,,709.0,15.0
2013-04-02,WR,,,42.0,,,,,,836.0,25.0
2013-04-03,ER,,,38.0,,,,,,307.0,0.0
2013-04-03,NER,,,4.0,,,,,,28.0,0.0
2013-04-03,NR,,,135.0,,,,,,676.0,3.0
2013-04-03,SR,,,80.0,,,,,,705.0,6.0
2013-04-03,WR,,,42.0,,,,,,835.0,22.0
2013-04-04,ER,,,38.0,,,,,,302.0,0.0
2013-04-04,NER,,,5.0,,,,,,26.0,0.0
2013-04-04,NR,,,133.0,,,,,,691.0,3.0
2013-04-04,SR,,,78.0,,,,,,711.0,15.0
2013-04-04,WR,,,44.0,,,,,,856.0,23.0
2013-04-05,ER,,,37.0,,,,,,305.0,0.0
2013-04-05,NER,,,4.0,,,,,,26.0,0.0
2013-04-05,NR,,,127.0,,,,,,673.0,2.0
2013-04-05,SR,,,87.0,,,,,,707.0,21.0
2013-04-05,WR,,,48.0,,,,,,855.0,19.0
2013-04-06,ER,,,35.0,,,,,,311.0,0.0
2013-04-06,NER,,,4.0,,,,,,27.0,0.0
2013-04-06,NR,,,127.0,,,,,,678.0,8.0
2013-04-06,SR,,,80.0,,,,,,717.0,34.0
2013-04-06,WR,,,40.0,,,,,,856.0,20.0
2013-04-07,ER,,,36.0,,,,,,308.0,0.0
2013-04-07,NER,,,4.0,,,,,,27.0,0.0
2013-04-07,NR,,,127.0,,,,,,677.0,13.0
2013-04-07,SR,,,66.0,,,,,,697.0,16.0
2013-04-07,WR,,,33.0,,,,,,842.0,25.0
2013-04-08,ER,,,41.0,,,,,,314.0,0.0
2013-04-08,NER,,,4.0,,,,,,27.0,0.0
2013-04-08,NR,,,136.0,,,,,,692.0,13.0
2013-04-08,SR,,,71.0,,,,,,715.0,15.0
2013-04-08,WR,,,45.0,,,,,,876.0,18.0
2013-04-09,ER,,,44.0,,,,,,326.0,0.0
2013-04-09,NER,,,3.0,,,,,,28.0,0.0
2013-04-09,NR,,,137.0,,,,,,696.0,9.0
2013-04-09,SR,,,70.0,,,,,,721.0,13.0
2013-04-09,WR,,,50.0,,,,,,876.0,16.0
